Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
4.331825, 0.020981, 0.565815
4.338903, 0.021023, 0.566861
4.345982, 0.021066, 0.567907
4.353060, 0.021108, 0.568954
4.360138, 0.021150, 0.570001
4.367216, 0.021192, 0.571048
4.374294, 0.021234, 0.572095
4.381372, 0.021276, 0.573142
4.388450, 0.021318, 0.574189
4.395529, 0.021360, 0.575236
4.402607, 0.021402, 0.576283
4.409685, 0.021444, 0.577331
4.416763, 0.021486, 0.578378
4.423841, 0.021528, 0.579426
4.430919, 0.021570, 0.580474
4.437998, 0.021612, 0.581522
4.445076, 0.021654, 0.582570
4.452154, 0.021696, 0.583618
4.459232, 0.021738, 0.584666
4.466310, 0.021780, 0.585714
4.473388, 0.021822, 0.586763
4.480466, 0.021864, 0.587811
4.487545, 0.021907, 0.588860
4.494623, 0.021949, 0.589908
4.501701, 0.021991, 0.590957
4.508779, 0.022033, 0.592006
4.515857, 0.022075, 0.593055
4.522935, 0.022117, 0.594104
4.530013, 0.022159, 0.595153
4.537092, 0.022201, 0.596202
4.544170, 0.022243, 0.597251
4.551248, 0.022285, 0.598301
4.558326, 0.022327, 0.599350
4.565404, 0.022370, 0.600400
4.572482, 0.022412, 0.601450
4.579560, 0.022454, 0.602499
4.586639, 0.022496, 0.603549
4.593717, 0.022538, 0.604599
4.600795, 0.022580, 0.605649
4.607873, 0.022622, 0.606699
4.614951, 0.022664, 0.607749
4.622029, 0.022706, 0.608800
4.629107, 0.022749, 0.609850
4.636186, 0.022791, 0.610901
4.643264, 0.022833, 0.611951
4.650342, 0.022875, 0.613002
4.657420, 0.022917, 0.614053
4.664498, 0.022959, 0.615103
4.671576, 0.023001, 0.616154
4.678654, 0.023043, 0.617205
4.685733, 0.023086, 0.618256
4.692811, 0.023128, 0.619307
4.699889, 0.023170, 0.620359
4.706967, 0.023212, 0.621410
4.714045, 0.023254, 0.622461
4.721123, 0.023296, 0.623513
4.728201, 0.023339, 0.624564
4.735280, 0.023381, 0.625616
4.742358, 0.023423, 0.626668
4.749436, 0.023465, 0.627720
4.756514, 0.023507, 0.628771
4.763592, 0.023549, 0.629823
4.770670, 0.023591, 0.630875
4.777749, 0.023634, 0.631928
4.784827, 0.023676, 0.632980
4.791905, 0.023718, 0.634032
4.798983, 0.023760, 0.635084
4.806061, 0.023802, 0.636137
4.813139, 0.023844, 0.637189
4.820217, 0.023887, 0.638242
4.827296, 0.023929, 0.639295
4.834374, 0.023971, 0.640347
4.841452, 0.024013, 0.641400
4.848530, 0.024055, 0.642453
4.855608, 0.024098, 0.643506
4.862686, 0.024140, 0.644559
4.869764, 0.024182, 0.645612
4.876843, 0.024224, 0.646665
4.883921, 0.024266, 0.647718
4.890999, 0.024309, 0.648772
4.898077, 0.024351, 0.649825
4.905155, 0.024393, 0.650879
4.912233, 0.024435, 0.651932
4.919311, 0.024477, 0.652986
4.926390, 0.024519, 0.654039
4.933468, 0.024562, 0.655093
4.940546, 0.024604, 0.656147
4.947624, 0.024646, 0.657201
4.954702, 0.024688, 0.658255
4.961780, 0.024731, 0.659309
4.968858, 0.024773, 0.660363
4.975937, 0.024815, 0.661417
4.983015, 0.024857, 0.662471
4.990093, 0.024899, 0.663526
4.997171, 0.024942, 0.664580
5.004249, 0.024984, 0.665634
5.011327, 0.025026, 0.666689
5.018405, 0.025068, 0.667743
5.025484, 0.025111, 0.668798
5.032562, 0.025153, 0.669853
5.039640, 0.025195, 0.670908
5.046718, 0.025237, 0.671962
5.053796, 0.025279, 0.673017
5.060874, 0.025322, 0.674072
5.067953, 0.025364, 0.675127
5.075031, 0.025406, 0.676182
5.082109, 0.025448, 0.677237
5.089187, 0.025491, 0.678293
5.096265, 0.025533, 0.679348
5.103343, 0.025575, 0.680403
5.110421, 0.025617, 0.681459
5.117500, 0.025660, 0.682514
5.124578, 0.025702, 0.683570
5.131656, 0.025744, 0.684625
5.138734, 0.025786, 0.685681
5.145812, 0.025829, 0.686737
5.152890, 0.025871, 0.687792
5.159968, 0.025913, 0.688848
5.167047, 0.025955, 0.689904
5.174125, 0.025998, 0.690960
5.181203, 0.026040, 0.692016
5.188281, 0.026082, 0.693072
5.195359, 0.026124, 0.694128
5.202437, 0.026167, 0.695184
5.209515, 0.026209, 0.696241
5.216594, 0.026251, 0.697297
5.223672, 0.026293, 0.698353
5.230750, 0.026336, 0.699410
5.237828, 0.026378, 0.700466
5.244906, 0.026420, 0.701523
5.251984, 0.026463, 0.702579
5.259062, 0.026505, 0.703636
5.266141, 0.026547, 0.704693
5.273219, 0.026589, 0.705750
5.280297, 0.026632, 0.706806
5.287375, 0.026674, 0.707863
5.294453, 0.026716, 0.708920
5.301531, 0.026759, 0.709977
5.308609, 0.026801, 0.711034
5.315688, 0.026843, 0.712091
5.322766, 0.026885, 0.713148
5.329844, 0.026928, 0.714206
5.336922, 0.026970, 0.715263
5.344000, 0.027012, 0.716320
5.351078, 0.027055, 0.717378
5.358156, 0.027097, 0.718435
5.365235, 0.027139, 0.719493
5.372313, 0.027181, 0.720550
5.379391, 0.027224, 0.721608
5.386469, 0.027266, 0.722665
5.393547, 0.027308, 0.723723
5.400625, 0.027351, 0.724781
5.407704, 0.027393, 0.725838
5.414782, 0.027435, 0.726896
5.421860, 0.027478, 0.727954
5.428938, 0.027520, 0.729012
5.436016, 0.027562, 0.730070
5.443094, 0.027604, 0.731128
5.450172, 0.027647, 0.732186
5.457251, 0.027689, 0.733244
5.464329, 0.027731, 0.734303
5.471407, 0.027774, 0.735361
5.478485, 0.027816, 0.736419
5.485563, 0.027858, 0.737478
5.492641, 0.027901, 0.738536
5.499719, 0.027943, 0.739594
5.506798, 0.027985, 0.740653
5.513876, 0.028028, 0.741711
5.520954, 0.028070, 0.742770
5.528032, 0.028112, 0.743829
5.535110, 0.028155, 0.744887
5.542188, 0.028197, 0.745946
5.549266, 0.028239, 0.747005
5.556345, 0.028282, 0.748064
5.563423, 0.028324, 0.749123
5.570501, 0.028366, 0.750182
5.577579, 0.028409, 0.751240
5.584657, 0.028451, 0.752300
5.591735, 0.028493, 0.753359
5.598813, 0.028536, 0.754418
5.605892, 0.028578, 0.755477
5.612970, 0.028620, 0.756536
5.620048, 0.028663, 0.757595
5.627126, 0.028705, 0.758655
5.634204, 0.028747, 0.759714
5.641282, 0.028790, 0.760773
5.648360, 0.028832, 0.761833
5.655439, 0.028874, 0.762892
5.662517, 0.028917, 0.763952
5.669595, 0.028959, 0.765011
5.676673, 0.029001, 0.766071
5.683751, 0.029044, 0.767131
5.690829, 0.029086, 0.768190
5.697907, 0.029128, 0.769250
5.704986, 0.029171, 0.770310
5.712064, 0.029213, 0.771370
5.719142, 0.029255, 0.772429
5.726220, 0.029298, 0.773489
5.733298, 0.029340, 0.774549
5.740376, 0.029383, 0.775609
5.747455, 0.029425, 0.776669
5.754533, 0.029467, 0.777729
5.761611, 0.029510, 0.778790
5.768689, 0.029552, 0.779850
