Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
74.010510, 0.020938, 2.016719
74.150657, 0.020985, 2.020853
74.290804, 0.021033, 2.024987
74.430952, 0.021081, 2.029121
74.571099, 0.021128, 2.033256
74.711246, 0.021176, 2.037390
74.851394, 0.021224, 2.041524
74.991541, 0.021271, 2.045659
75.131688, 0.021319, 2.049793
75.271835, 0.021367, 2.053928
75.411983, 0.021414, 2.058062
75.552130, 0.021462, 2.062197
75.692277, 0.021510, 2.066331
75.832425, 0.021557, 2.070466
75.972572, 0.021605, 2.074601
76.112719, 0.021653, 2.078735
76.252866, 0.021701, 2.082870
76.393014, 0.021748, 2.087005
76.533161, 0.021796, 2.091140
76.673308, 0.021844, 2.095275
76.813456, 0.021891, 2.099410
76.953603, 0.021939, 2.103545
77.093750, 0.021987, 2.107680
77.233897, 0.022035, 2.111815
77.374045, 0.022082, 2.115950
77.514192, 0.022130, 2.120085
77.654339, 0.022178, 2.124220
77.794487, 0.022225, 2.128356
77.934634, 0.022273, 2.132491
78.074781, 0.022321, 2.136626
78.214928, 0.022369, 2.140762
78.355076, 0.022416, 2.144897
78.495223, 0.022464, 2.149033
78.635370, 0.022512, 2.153168
78.775518, 0.022559, 2.157304
78.915665, 0.022607, 2.161439
79.055812, 0.022655, 2.165575
79.195959, 0.022703, 2.169711
79.336107, 0.022750, 2.173846
79.476254, 0.022798, 2.177982
79.616401, 0.022846, 2.182118
79.756549, 0.022894, 2.186254
79.896696, 0.022941, 2.190390
80.036843, 0.022989, 2.194526
80.176991, 0.023037, 2.198662
80.317138, 0.023085, 2.202797
80.457285, 0.023132, 2.206934
80.597432, 0.023180, 2.211069
80.737580, 0.023228, 2.215206
80.877727, 0.023276, 2.219342
81.017874, 0.023324, 2.223478
81.158022, 0.023371, 2.227614
81.298169, 0.023419, 2.231750
81.438316, 0.023467, 2.235886
81.578463, 0.023515, 2.240023
81.718611, 0.023562, 2.244159
81.858758, 0.023610, 2.248296
81.998905, 0.023658, 2.252432
82.139053, 0.023706, 2.256569
82.279200, 0.023753, 2.260705
82.419347, 0.023801, 2.264842
82.559494, 0.023849, 2.268978
82.699642, 0.023897, 2.273115
82.839789, 0.023945, 2.277252
82.979936, 0.023992, 2.281388
83.120084, 0.024040, 2.285525
83.260231, 0.024088, 2.289661
83.400378, 0.024136, 2.293798
83.540525, 0.024184, 2.297935
83.680673, 0.024231, 2.302072
83.820820, 0.024279, 2.306209
83.960967, 0.024327, 2.310346
84.101115, 0.024375, 2.314482
84.241262, 0.024422, 2.318620
84.381409, 0.024470, 2.322757
84.521557, 0.024518, 2.326893
84.661704, 0.024566, 2.331030
84.801851, 0.024614, 2.335168
84.941998, 0.024662, 2.339305
85.082146, 0.024709, 2.343442
85.222293, 0.024757, 2.347579
85.362440, 0.024805, 2.351716
85.502588, 0.024853, 2.355854
85.642735, 0.024901, 2.359991
85.782882, 0.024948, 2.364128
85.923029, 0.024996, 2.368265
86.063177, 0.025044, 2.372403
86.203324, 0.025092, 2.376540
86.343471, 0.025140, 2.380678
86.483619, 0.025188, 2.384815
86.623766, 0.025235, 2.388952
86.763913, 0.025283, 2.393090
86.904060, 0.025331, 2.397227
87.044208, 0.025379, 2.401365
87.184355, 0.025427, 2.405503
87.324502, 0.025475, 2.409640
87.464650, 0.025523, 2.413778
87.604797, 0.025570, 2.417916
87.744944, 0.025618, 2.422053
87.885091, 0.025666, 2.426191
88.025239, 0.025714, 2.430329
88.165386, 0.025762, 2.434466
88.305533, 0.025809, 2.438604
88.445681, 0.025857, 2.442742
88.585828, 0.025905, 2.446880
88.725975, 0.025953, 2.451018
88.866123, 0.026001, 2.455156
89.006270, 0.026049, 2.459294
89.146417, 0.026097, 2.463432
89.286564, 0.026144, 2.467570
89.426712, 0.026192, 2.471708
89.566859, 0.026240, 2.475846
89.707006, 0.026288, 2.479984
89.847154, 0.026336, 2.484122
89.987301, 0.026384, 2.488260
90.127448, 0.026432, 2.492398
90.267595, 0.026479, 2.496537
90.407743, 0.026527, 2.500675
90.547890, 0.026575, 2.504813
90.688037, 0.026623, 2.508951
90.828185, 0.026671, 2.513089
90.968332, 0.026719, 2.517228
91.108479, 0.026767, 2.521366
91.248626, 0.026815, 2.525504
91.388774, 0.026862, 2.529643
91.528921, 0.026910, 2.533781
91.669068, 0.026958, 2.537919
