Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
4.381372, 2.567794, 6.621056
4.388450, 2.570856, 6.629783
4.395529, 2.573944, 6.638499
4.402607, 2.577060, 6.647204
4.409685, 2.580201, 6.655898
4.416763, 2.583341, 6.664594
4.423841, 2.586517, 6.673272
4.430919, 2.589691, 6.681954
4.437998, 2.592899, 6.690621
4.445076, 2.596129, 6.699278
4.452154, 2.599341, 6.707946
4.459232, 2.602606, 6.716591
4.466310, 2.605870, 6.725234
4.473388, 2.609162, 6.733872
4.480466, 2.612440, 6.742507
4.487545, 2.615739, 6.751138
4.494623, 2.619045, 6.759767
4.501701, 2.622356, 6.768394
4.508779, 2.625737, 6.776990
4.515857, 2.629034, 6.785626
4.522935, 2.632393, 6.794233
4.530013, 2.635752, 6.802842
4.537092, 2.639125, 6.811445
4.544170, 2.642497, 6.820048
4.551248, 2.645878, 6.828662
4.558326, 2.649276, 6.837243
4.565404, 2.652655, 6.845847
4.572482, 2.656063, 6.854437
4.579560, 2.659478, 6.863025
4.586639, 2.662924, 6.871599
4.593717, 2.666354, 6.880182
4.600795, 2.669783, 6.888766
4.607873, 2.673228, 6.897343
4.614951, 2.676663, 6.905926
4.622029, 2.680129, 6.914495
4.629107, 2.683573, 6.923075
4.636186, 2.687029, 6.931649
4.643264, 2.690437, 6.940238
4.650342, 2.693992, 6.948778
4.657420, 2.697471, 6.957344
4.664498, 2.700955, 6.965909
4.671576, 2.704443, 6.974473
4.678654, 2.707935, 6.983035
4.685733, 2.711432, 6.991596
4.692811, 2.714933, 7.000156
4.699889, 2.718457, 7.008705
4.706967, 2.721937, 7.017261
4.714045, 2.725467, 7.025824
4.721123, 2.728958, 7.034394
4.728201, 2.732462, 7.042953
4.735280, 2.736033, 7.051486
4.742358, 2.739530, 7.060052
4.749436, 2.743055, 7.068605
4.756514, 2.746591, 7.077155
4.763592, 2.750146, 7.085694
4.770670, 2.753744, 7.094216
4.777749, 2.757273, 7.102760
4.784827, 2.760868, 7.111378
4.791905, 2.764375, 7.119860
4.798983, 2.767925, 7.128415
4.806061, 2.771476, 7.136992
4.813139, 2.775017, 7.145505
4.820217, 2.778584, 7.154047
4.827296, 2.782135, 7.162598
4.834374, 2.785725, 7.171128
4.841452, 2.789320, 7.179673
4.848530, 2.792845, 7.188204
4.855608, 2.796426, 7.196740
4.862686, 2.799993, 7.205275
4.869764, 2.803636, 7.213838
4.876843, 2.807191, 7.222357
4.883921, 2.810792, 7.230887
4.890999, 2.814357, 7.239437
4.898077, 2.817955, 7.247966
4.905155, 2.821598, 7.256493
4.912233, 2.825150, 7.265033
4.919311, 2.828747, 7.273568
4.926390, 2.832347, 7.282101
4.933468, 2.835949, 7.290634
4.940546, 2.839539, 7.299173
4.947624, 2.843159, 7.307700
4.954702, 2.846752, 7.316230
4.961780, 2.850334, 7.324756
4.968858, 2.853855, 7.333288
4.975937, 2.857598, 7.341828
4.983015, 2.861213, 7.350359
4.990093, 2.864847, 7.358893
4.997171, 2.868453, 7.367417
5.004249, 2.872074, 7.375948
5.011327, 2.875695, 7.384477
5.018405, 2.879334, 7.392999
5.025484, 2.882860, 7.401515
5.032562, 2.886590, 7.410070
5.039640, 2.890202, 7.418593
5.046718, 2.893819, 7.427128
5.053796, 2.897490, 7.435664
5.060874, 2.901095, 7.444178
5.067953, 2.904725, 7.452708
5.075031, 2.908368, 7.461234
5.082109, 2.911861, 7.469738
5.089187, 2.915655, 7.478296
5.096265, 2.919294, 7.486827
5.103343, 2.922927, 7.495343
5.110421, 2.926573, 7.503870
5.117500, 2.930343, 7.512438
5.124578, 2.933869, 7.520922
5.131656, 2.937507, 7.529449
5.138734, 2.941173, 7.537967
5.145812, 2.944660, 7.546455
5.152890, 2.948494, 7.555040
5.159968, 2.952085, 7.563611
5.167047, 2.955753, 7.572084
5.174125, 2.959416, 7.580605
5.181203, 2.963082, 7.589126
5.188281, 2.966727, 7.597656
5.195359, 2.970349, 7.606199
5.202437, 2.974041, 7.614709
5.209515, 2.977689, 7.623231
5.216594, 2.981369, 7.631762
5.223672, 2.984860, 7.640250
5.230750, 2.988688, 7.648810
5.237828, 2.992352, 7.657336
5.244906, 2.995947, 7.665839
5.251984, 2.999716, 7.674399
